Ticker_gse,Stock Name_gse,Value_gse,Date Value_gse,yearQuar_gse,DOW JONES COMPOSITE AVERAGE,DOW JONES INDUSTRIAL AVERAGE,DOW JONES TRANSPORTATION AVERAGE,DOW JONES UTILITY AVERAGE,S&P 500,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE,PARKS PERCENT CHANGE FROM BASELINE,RESIDENTIAL PERCENT CHANGE FROM BASELINE,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE,WORKPLACES PERCENT CHANGE FROM BASELINE,Value_jodi,month,year,COAL PRODUCTION TOTAL U.S._shortene,U.S. CRUDE OIL PRODUCTION_shortene,U.S. TOTAL ENERGY CONSUMPTION_shortene,LONG-TERM INTEREST RATES_interates,SHORT-TERM INTEREST RATES_interates,SINGAPORE JET KERO VS SINGAPORE GASOIL SWAP_enerfutup,BRENT CRUDE OIL (DOLLARS PER BARREL),WTI CRUDE OIL (DOLLARS PER BARREL),Polarity
VLO,VALERO ENERGY CORPORATION,79.03,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
XOM,EXXON MOBIL CORPORATION,60.93,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
MPC,MARATHON PETROLEUM CORPORATION,57.32,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
OXY,OCCIDENTAL PETROLEUM CORPORATION,31.23,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
CVX,CHEVRON CORPORATION,109,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
PSX,PHILLIPS 66,87.35,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
COP,CONOCOPHILLIPS,58.34,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
MRO,MARATHON OIL CORPORATION,12.98,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
BP,BP P.L.C.,26.77,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
PXD,PIONEER NATURAL RESOURCES COMPANY,163.59,3/5/2021,2021Q1,10435.92,31496.3,13627.98,814.03,3841.94,-5.058823529,1.060465116,6.37605042,-15.41666667,-24.07407407,-17.755716,,3,2021,56.25,13.56,8.49,,0.11,,69.95,66.08,-0.14468391
